Threads,ArraySize,Time
7, 4194304, 0.169551
7, 4194304, 0.167492
7, 4194304, 0.166028
7, 8388608, 0.306563
7, 8388608, 0.308378
7, 8388608, 0.304538
7, 16777216, 0.755733
7, 16777216, 0.758816
7, 16777216, 0.788723
7, 33554432, 1.715007
7, 33554432, 1.332215
7, 33554432, 1.258792
7, 67108864, 2.587761
7, 67108864, 2.811677
7, 67108864, 2.458164
7, 134217728, 5.800138
7, 134217728, 7.132334
7, 134217728, 5.667843
7, 268435456, 17.024467
7, 268435456, 10.112197
7, 268435456, 11.023375
7, 536870912, 29.984422
7, 536870912, 25.988658
7, 536870912, 24.379709
7, 1073741824, 45.078238
7, 1073741824, 53.765593
7, 1073741824, 46.771652
8, 1048576, 0.036230
8, 1048576, 0.036586
8, 1048576, 0.036465
8, 2097152, 0.085070
8, 2097152, 0.084065
8, 2097152, 0.084664
8, 4194304, 0.175223
8, 4194304, 0.191220
8, 4194304, 0.196326
8, 8388608, 0.301521
8, 8388608, 0.304113
8, 8388608, 0.273389
8, 16777216, 0.738886
8, 16777216, 0.703711
8, 16777216, 0.493239
8, 33554432, 1.246323
8, 33554432, 1.531774
8, 33554432, 1.416026
8, 67108864, 3.194679
8, 67108864, 2.819176
8, 67108864, 3.557930
8, 134217728, 6.492512
8, 134217728, 6.556804
8, 134217728, 5.376867
8, 268435456, 17.288376
8, 268435456, 15.818828
8, 268435456, 13.272811
8, 536870912, 20.250121
8, 536870912, 20.125284
8, 536870912, 22.698751
8, 1073741824, 45.824047
8, 1073741824, 49.359387
8, 1073741824, 40.767967
9, 1048576, 0.038720
9, 1048576, 0.038052
9, 1048576, 0.038628
9, 2097152, 0.058293
9, 2097152, 0.057743
9, 2097152, 0.057649
9, 4194304, 0.115701
9, 4194304, 0.138421
9, 4194304, 0.136192
9, 8388608, 0.268519
9, 8388608, 0.263784
9, 8388608, 0.268949
9, 16777216, 0.564982
9, 16777216, 0.556715
9, 16777216, 0.504838
9, 33554432, 1.730367
9, 33554432, 1.166249
9, 33554432, 1.297500
9, 67108864, 2.935715
9, 67108864, 2.437449
9, 67108864, 3.820151
9, 134217728, 4.206764
9, 134217728, 4.743337
9, 134217728, 4.098066
9, 268435456, 11.797863
9, 268435456, 11.193342
9, 268435456, 11.744819
9, 536870912, 14.834477
9, 536870912, 18.675800
9, 536870912, 22.757884
9, 1073741824, 44.706886
9, 1073741824, 45.844096
9, 1073741824, 36.314216
10, 1048576, 0.028079
10, 1048576, 0.028083
10, 1048576, 0.027498
10, 2097152, 0.044841
10, 2097152, 0.044761
10, 2097152, 0.044822
10, 4194304, 0.119118
10, 4194304, 0.124875
10, 4194304, 0.111270
10, 8388608, 0.331623
10, 8388608, 0.332609
10, 8388608, 0.334423
10, 16777216, 0.614448
10, 16777216, 0.467065
10, 16777216, 0.454166
10, 33554432, 1.095860
10, 33554432, 0.931074
10, 33554432, 1.170639
10, 67108864, 2.543050
10, 67108864, 1.736840
10, 67108864, 1.912365
10, 134217728, 5.438573
10, 134217728, 7.221775
10, 134217728, 7.404178
10, 268435456, 8.256063
10, 268435456, 11.913431
10, 268435456, 13.734682
10, 536870912, 18.047950
10, 536870912, 18.563935
10, 536870912, 17.673360
10, 1073741824, 44.375053
10, 1073741824, 49.062444
10, 1073741824, 31.179845
11, 1048576, 0.028717
11, 1048576, 0.028547
11, 1048576, 0.028513
11, 2097152, 0.059145
11, 2097152, 0.060034
11, 2097152, 0.059844
11, 4194304, 0.153897
11, 4194304, 0.115970
11, 4194304, 0.116470
11, 8388608, 0.300255
11, 8388608, 0.293838
11, 8388608, 0.198115
11, 16777216, 0.540802
11, 16777216, 0.454281
11, 16777216, 0.460245
11, 33554432, 1.065946
11, 33554432, 0.871478
11, 33554432, 1.021567
11, 67108864, 2.600291
11, 67108864, 2.235847
11, 67108864, 2.709418
11, 134217728, 6.135878
11, 134217728, 5.193709
11, 134217728, 6.128110
11, 268435456, 8.161907
11, 268435456, 9.270568
11, 268435456, 8.314735
11, 536870912, 17.561603
11, 536870912, 15.105885
11, 536870912, 21.897974
11, 1073741824, 30.910202
11, 1073741824, 54.850597
11, 1073741824, 47.216423
12, 1048576, 0.025208
12, 1048576, 0.025126
12, 1048576, 0.025388
12, 2097152, 0.057678
12, 2097152, 0.057833
12, 2097152, 0.056352
12, 4194304, 0.146851
12, 4194304, 0.131109
12, 4194304, 0.132029
12, 8388608, 0.220300
12, 8388608, 0.231563
12, 8388608, 0.233120
12, 16777216, 0.502599
12, 16777216, 0.765445
12, 16777216, 0.535226
12, 33554432, 1.119013
12, 33554432, 0.986717
12, 33554432, 1.144230
12, 67108864, 2.028787
12, 67108864, 2.525649
12, 67108864, 2.466033
12, 134217728, 6.860581
12, 134217728, 5.601582
12, 134217728, 5.418309
12, 268435456, 11.307504
12, 268435456, 8.387301
12, 268435456, 12.230292
12, 536870912, 19.755182
12, 536870912, 31.420821
12, 536870912, 25.947822
12, 1073741824, 51.430445
12, 1073741824, 43.954825
12, 1073741824, 36.973787
